id,Nival,Upper alpine,Lower alpine,Upper montane,Lower montane,Mountain with frost,Mountain without frost
Mount Trooedos,0,0,0,0,14000,1060,4180
Mufu Shan,0,0,0,0,89500,1080000,0
Murat Dagi,0,0,0,0,3310,0,0
Muratbasi,0,0,0,1350,11700,0,0
Mus Sira Daglari,0,0,0,0,9320,109000,0
Naga Hills,0,0,0,0,17900,280000,897000
Nagor'ye Sangilen,0,0,38,270,135,0,0
Nallamala Hills,0,0,0,0,0,0,79600
Nan Ling,0,0,0,0,15700,391000,146000
Nangang Shan,0,0,0,0,54400,0,0
Nangnim-Sanmaek,0,0,91,20500,632000,376000,0
Narat Shan,0,0,1540,2640,4990,942,0
Narymskiy Khrebet,0,0,0,0,8450,0,0
Nganglong Kangri,0,26,536,6330,0,0,0
Nilgiri Hills,0,0,0,0,43500,0,179000
Ningjing Shan,0,0,41700,112000,21100,0,0
Nu Shan,0,0,53,38800,93800,74300,406
Nyainqentanglha Shan,285,3570,163000,431000,6530,78,0
Olekmo-Charskoye Nagor'ye,0,0,799,1940,0,0,0
Oloyskiy Khrebet,0,25,74,0,0,0,0
Omal'skiy Khrebet,0,0,0,0,0,0,0
Omsukchanskiy Gory,0,0,28,0,0,0,0
Ou Mountains,0,0,0,93,86700,47100,0
Owen Stanley Range,0,0,0,1040,19700,0,107000
Pab Range,0,0,0,0,0,6740,28900
Pachaimalai Hills,0,0,0,0,0,0,164000
Pamir Mountains,19500,9380,32300,98500,635000,22100,0
Pan Ling,0,0,0,0,6260,0,0
Parahyangan Highlands,0,0,0,0,1760,0,5810000
Patkai Hills,53,318,6000,28800,34100,27200,25000
Patomskoye Nagor'ye,0,0,158,30200,0,0,0
Pegu Yoma,0,0,0,0,0,1070,251000
Pegunungan Iran,0,0,0,0,0,0,16700
Pegunungan Kumafa,0,0,0,0,0,0,150
Pegunungan Maoke,0,0,9380,191000,275000,0,481000
Pegunungan Meratus,0,0,0,0,0,0,28000
Pegunungan Muller,0,0,0,0,0,0,12500
Pegunungan Schwaner,0,0,0,0,0,0,2740
